7420201,Công nghệ Sinh học,A00,16.15,TO >= 6.4. TTNV<= 3
7340101,Quản trị kinh doanh,A00,22.5,TO >= 7. TTNV <= 3
7340101,Quản trị kinh doanh,A01,22.5,TO >= 7. TTNV <= 3
7340101,Quản trị kinh doanh,D01,22.5,TO >= 7. TTNV <= 3
7340101,Quản trị kinh doanh,D90,22.5,TO >= 7. TTNV <= 3
7340101EL,Quản trị kinh doanh (Chuyên ngành Quản trị Logistics và chuỗi cung ứng số),A00,23,TO >= 6.8. TTNV <= 1
7340101EL,Quản trị kinh doanh (Chuyên ngành Quản trị Logistics và chuỗi cung ứng số),A01,23,TO >= 6.8. TTNV <= 1
7340101EL,Quản trị kinh doanh (Chuyên ngành Quản trị Logistics và chuỗi cung ứng số),D01,23,TO >= 6.8. TTNV <= 1
7340101EL,Quản trị kinh doanh (Chuyên ngành Quản trị Logistics và chuỗi cung ứng số),D90,23,TO >= 6.8. TTNV <= 1
7340101ET,Quản trị kinh doanh (Chuyên ngành Quản trị dịch vụ du lịch và lữ hành số),A00,20.5,TO >= 7. TTNV <= 2
7340101ET,Quản trị kinh doanh (Chuyên ngành Quản trị dịch vụ du lịch và lữ hành số),A01,20.5,TO >= 7. TTNV <= 2
7340101ET,Quản trị kinh doanh (Chuyên ngành Quản trị dịch vụ du lịch và lữ hành số),D01,20.5,TO >= 7. TTNV <= 2
7340101ET,Quản trị kinh doanh (Chuyên ngành Quản trị dịch vụ du lịch và lữ hành số),D90,20.5,TO >= 7. TTNV <= 2
7480108,Công nghệ kỹ thuật máy tính,A00,20,TO >= 7.6. TTNV <= 3
7480108,Công nghệ kỹ thuật máy tính,A01,20,TO >= 7.6. TTNV <= 3
7480108,Công nghệ kỹ thuật máy tính,D01,20,TO >= 7.6. TTNV <= 3
7480108,Công nghệ kỹ thuật máy tính,D90,20,TO >= 7.6. TTNV <= 3
7480201,Công nghệ thông tin,A00,23,TO >= 7. TTNV <= 4
7480201,Công nghệ thông tin,A01,23,TO >= 7. TTNV <= 4
7480201,Công nghệ thông tin,D01,23,TO >= 7. TTNV <= 4
7480201,Công nghệ thông tin,D90,23,TO >= 7. TTNV <= 4
7480201DA,Công nghệ thông tin (Chuyên ngành Thiết kế Mỹ thuật số),A00,21.5,TO >= 7. TTNV <= 4
7480201DA,Công nghệ thông tin (Chuyên ngành Thiết kế Mỹ thuật số),A01,21.5,TO >= 7. TTNV <= 4
7480201DA,Công nghệ thông tin (Chuyên ngành Thiết kế Mỹ thuật số),D01,21.5,TO >= 7. TTNV <= 4
7480201DA,Công nghệ thông tin (Chuyên ngành Thiết kế Mỹ thuật số),D90,21.5,TO >= 7. TTNV <= 4
7480201DS,Công nghệ thông tin (Chuyên ngành Khoa học dữ liệu và trí tuệ nhân tạo),A00,21.05,TO >= 7.8. TTNV <= 2
7480201DS,Công nghệ thông tin (Chuyên ngành Khoa học dữ liệu và trí tuệ nhân tạo),A01,21.05,TO >= 7.8. TTNV <= 2
7480201DS,Công nghệ thông tin (Chuyên ngành Khoa học dữ liệu và trí tuệ nhân tạo),D01,21.05,TO >= 7.8. TTNV <= 2
7480201DS,Công nghệ thông tin (Chuyên ngành Khoa học dữ liệu và trí tuệ nhân tạo),D90,21.05,TO >= 7.8. TTNV <= 2
7720101A,Y khoa (A),A00,25.8,Tiêu chí phụ: Tổng điểm 3 môn: 25.3. môn 1:8.75. môn 2: 8.8. môn 3: 7.75
7720101B,Y Khoa (B),B00,26.9,Tiêu chí phụ: Tổng điểm 3 môn: 24.15. môn 1: 7.75. môn 2: 8. môn 3: 8.4
7720110,Y học dự phòng,B00,22.35,Tiêu chí phụ: Tổng điểm 3 môn: 22.10. môn 1: 7. môn 2: 7.5. môn 3: 7.6
7720115,Y học cổ truyền,B00,24.35,Tiêu chí phụ: Tổng điểm 3 môn: 23.85. môn 1: 7.75. môn 2: 8.5. môn 3: 7.6
7720201A,Dược học (A),A00,25.25,Tiêu chí phụ: Tổng điểm 3 môn: 25. môn 1: 8. môn 2: 9. môn 3: 8
7720201B,Dược học (B),B00,25.95,Tiêu chí phụ: Tổng điểm 3 môn: 25.45. môn 1: 8.25. môn 2: 9. môn 3: 8.2
7720201D,Dược học (D),D07,26.05,Tiêu chí phụ: Tổng điểm 3 môn: 25.8. môn 1: 8. môn 2: 8.4. môn 3: 9.4
7720101,Bác sĩ đa khoa,A00,24.35,"Ưu tiên xét tuyển HSG Quốc gia, thí sinh nam, miền Bắc"
7720101,Bác sĩ đa khoa,B00,24.35,"Ưu tiên xét tuyển HSG Quốc gia, thí sinh nam, miền Bắc"
7720101,Bác sĩ đa khoa,A00,24.35,"Xét tuyển HSG bậc THPT, thí sinh nam, miền Bắc"
7720101,Bác sĩ đa khoa,B00,24.35,"Xét tuyển HSG bậc THPT, thí sinh nam, miền Bắc"
7720101,Bác sĩ đa khoa,A00,26.45,"Xét tuyển kết quả thi TN THPT, thí sinh nam, miền Bắc. Thí sinh mức 26.45 điểm xét tiêu chí phụ 1 (điểm môn Toán >= 8.2), tiêu chí phụ 2 (điểm môn Hóa >= 9.25)"
7720101,Bác sĩ đa khoa,B00,26.45,"Xét tuyển kết quả thi TN THPT, thí sinh nam, miền Bắc. Thí sinh mức 26.45 điểm xét tiêu chí phụ 1 (điểm môn Toán >= 8.2), tiêu chí phụ 2 (điểm môn Hóa >= 9.25)"
7720101,Bác sĩ đa khoa,A00,26.45,"Ưu tiên xét tuyển HSG Quốc gia, thí sinh nữ, miền Bắc"
7720101,Bác sĩ đa khoa,B00,26.45,"Ưu tiên xét tuyển HSG Quốc gia, thí sinh nữ, miền Bắc"
7720101,Bác sĩ đa khoa,A00,26.45,"Xét tuyển HSG bậc THPT, thí sinh nữ, miền Bắc"
7720101,Bác sĩ đa khoa,B00,26.45,"Xét tuyển HSG bậc THPT, thí sinh nữ, miền Bắc"
7720101,Bác sĩ đa khoa,A00,28.5,"Xét tuyển kết quả thi TN THPT, thí sinh nữ, miền Bắc"
7720101,Bác sĩ đa khoa,B00,28.5,"Xét tuyển kết quả thi TN THPT, thí sinh nữ, miền Bắc"
7720101,Bác sĩ đa khoa,A00,24.25,"Ưu tiên xét tuyển HSG Quốc gia, thí sinh nam, miền Nam"
7720101,Bác sĩ đa khoa,B00,24.25,"Ưu tiên xét tuyển HSG Quốc gia, thí sinh nam, miền Nam"
7720101,Bác sĩ đa khoa,A00,24.25,"Xét tuyển HSG bậc THPT, thí sinh nam, miền Nam"
7720101,Bác sĩ đa khoa,B00,24.25,"Xét tuyển HSG bậc THPT, thí sinh nam, miền Nam"
7720101,Bác sĩ đa khoa,A00,25.55,"Xét tuyển kết quả thi TN THPT, thí sinh nam, miền Nam. Thí sinh mức 25.55 điểm xét tiêu chí phụ 1 (điểm môn Toán >= 8.8), tiêu chí phụ 2 (điểm môn Hóa >= 8.0)"
7720101,Bác sĩ đa khoa,B00,25.55,"Xét tuyển kết quả thi TN THPT, thí sinh nam, miền Nam. Thí sinh mức 25.55 điểm xét tiêu chí phụ 1 (điểm môn Toán >= 8.8), tiêu chí phụ 2 (điểm môn Hóa >= 8.0)"
7720101,Bác sĩ đa khoa,A00,27.68,"Xét tuyển kết quả học bạ THPT, thí sinh nam, miền Nam"
7720101,Bác sĩ đa khoa,B00,27.68,"Xét tuyển kết quả học bạ THPT, thí sinh nam, miền Nam"
7720101,Bác sĩ đa khoa,A00,27.9,"Xét tuyển kết quả thi TN THPT, thí sinh nữ, miền Nam"
7720101,Bác sĩ đa khoa,B00,27.9,"Xét tuyển kết quả thi TN THPT, thí sinh nữ, miền Nam"
7720101,Bác sĩ đa khoa,A00,29.43,"Xét tuyển kết quả học bạ THPT, thí sinh nữ, miền Nam"
7720101,Bác sĩ đa khoa,B00,29.43,"Xét tuyển kết quả học bạ THPT, thí sinh nữ, miền Nam"
7720101,Y khoa,B00,27,Đại trà
7720115,Y học cổ truyền,B00,25.65,Đại trà
7720501,Răng hàm mặt,B00,26.75,Đại trà
7720110,Y học dự phòng,B00,24.95,Đại trà
7720201,Dược học,B00,26,Đại trà
7720301,Điều dưỡng,B00,24.9,Đại trà
7720302,Hộ sinh,B00,23.7,Đại trà
7720701,Y tế công cộng,B00,20,Đại trà
7720601,Kỹ thuật xét nghiệm y học,B00,25.5,Đại trà
7720602,Kỹ thuuật hình ảnh y học,B00,24.7,Đại trà
7720101,Y khoa,B00,26,Ngưỡng điểm trúng tuyển xét theo nhu cầu xã hội
7720101H,Y khoa phục vụ ngành hiếm,B00,25,Ngưỡng điểm trúng tuyển xét theo nhu cầu xã hội
7720115,Y học cổ truyền,B00,24.65,Ngưỡng điểm trúng tuyển xét theo nhu cầu xã hội
7720501,Răng hàm mặt,B00,25.75,Ngưỡng điểm trúng tuyển xét theo nhu cầu xã hội
7720110,Y học dự phòng,B00,23.95,Ngưỡng điểm trúng tuyển xét theo nhu cầu xã hội
7720201,Dược học,B00,25,Ngưỡng điểm trúng tuyển xét theo nhu cầu xã hội
7720301,Điều dưỡng,B00,23.9,Ngưỡng điểm trúng tuyển xét theo nhu cầu xã hội
7720302,Hộ sinh,B00,22.7,Ngưỡng điểm trúng tuyển xét theo nhu cầu xã hội
7720701,Y tế công cộng,B00,19,Ngưỡng điểm trúng tuyển xét theo nhu cầu xã hội
